timestamp,object_id,length_m,width_m,depth_m,height_above_baseline_m,distance_m,centroid_x,centroid_y,point_count
2026-03-21T17:53:31.913197,0,1.1932,1.1932,0.0173,0.8702,0.8727,0.1385,-0.8616,69
2026-03-21T17:53:31.913197,1,0.0965,0.0080,0.0965,0.7877,1.0659,0.7663,-0.7408,5
2026-03-21T17:53:31.913197,2,0.5743,0.0226,0.5743,0.6389,0.8194,0.7522,-0.3251,36
2026-03-21T17:53:31.913197,3,0.0964,0.0296,0.0964,0.0528,0.5996,0.5996,0.0051,10
2026-03-21T17:53:31.913197,4,0.6076,0.0108,0.6076,0.6990,0.8324,0.7485,0.3644,37
2026-03-21T17:53:31.986455,0,1.1206,1.1206,0.0195,0.8716,0.8680,0.1106,-0.8609,66
2026-03-21T17:53:31.986455,1,0.0463,0.0463,0.0080,0.8611,1.1372,0.7462,-0.8582,3
2026-03-21T17:53:31.986455,2,0.6004,0.0225,0.6004,0.6659,0.8241,0.7532,-0.3345,37
2026-03-21T17:53:31.986455,3,0.0966,0.0443,0.0966,0.0523,0.5999,0.5999,0.0050,10
2026-03-21T17:53:31.986455,4,0.6262,0.0109,0.6262,0.7176,0.8350,0.7469,0.3732,38
2026-03-21T17:53:32.052221,0,1.1216,1.1216,0.0189,0.8708,0.8678,0.1108,-0.8607,66
2026-03-21T17:53:32.052221,1,0.6179,0.0206,0.6179,0.6832,0.8275,0.7528,-0.3435,38
2026-03-21T17:53:32.052221,2,0.0964,0.0433,0.0964,0.0523,0.5986,0.5986,0.0050,10
2026-03-21T17:53:32.052221,3,0.6574,0.0201,0.6574,0.7474,0.8399,0.7474,0.3832,39
2026-03-21T17:53:32.128730,0,1.1253,1.1253,0.0186,0.8736,0.8690,0.1108,-0.8619,66
2026-03-21T17:53:32.128730,1,0.5971,0.0221,0.5971,0.6626,0.8248,0.7538,-0.3347,37
2026-03-21T17:53:32.128730,2,0.0956,0.0406,0.0956,0.0519,0.5973,0.5973,0.0050,10
2026-03-21T17:53:32.128730,3,0.6288,0.0140,0.6288,0.7204,0.8356,0.7476,0.3732,38
2026-03-21T17:53:32.204591,0,1.1899,1.1899,0.0188,0.8697,0.8723,0.1387,-0.8612,69
2026-03-21T17:53:32.204591,1,0.5965,0.0276,0.5965,0.6607,0.8233,0.7524,-0.3342,37
2026-03-21T17:53:32.204591,2,0.0958,0.0303,0.0958,0.0525,0.5972,0.5972,0.0051,10
2026-03-21T17:53:32.204591,3,0.5582,0.0122,0.5582,0.6495,0.8230,0.7469,0.3457,35
2026-03-21T17:53:32.204591,4,0.0961,0.0053,0.0961,0.7726,1.0423,0.7494,0.7244,5
2026-03-21T17:53:32.271008,0,1.1239,1.1239,0.0168,0.8697,0.8689,0.1111,-0.8617,66
2026-03-21T17:53:32.271008,1,0.0365,0.0365,0.0192,0.8672,1.1402,0.7481,-0.8605,3
2026-03-21T17:53:32.271008,2,0.5955,0.0187,0.5955,0.6607,0.8233,0.7525,-0.3340,37
2026-03-21T17:53:32.271008,3,0.0948,0.0185,0.0948,0.0522,0.5965,0.5965,0.0051,10
2026-03-21T17:53:32.271008,4,0.5987,0.0518,0.5987,0.6725,0.8236,0.7467,0.3474,37
2026-03-21T17:53:32.355519,0,1.1231,1.1231,0.0184,0.8700,0.8690,0.1111,-0.8619,66
2026-03-21T17:53:32.355519,1,0.0438,0.0438,0.0103,0.8656,1.1412,0.7488,-0.8612,3
2026-03-21T17:53:32.355519,2,0.6192,0.0212,0.6192,0.6845,0.8278,0.7532,-0.3435,38
2026-03-21T17:53:32.355519,3,0.0948,0.0246,0.0948,0.0519,0.5952,0.5952,0.0050,10
2026-03-21T17:53:32.355519,4,0.6258,0.0583,0.6258,0.6990,0.8274,0.7466,0.3567,38
2026-03-21T17:53:32.434226,0,1.1907,1.1907,0.0217,0.8718,0.8723,0.1387,-0.8612,69
2026-03-21T17:53:32.434226,1,0.5955,0.0179,0.5955,0.6607,0.8239,0.7530,-0.3343,37
2026-03-21T17:53:32.434226,2,0.0958,0.0303,0.0958,0.0523,0.5992,0.5992,0.0050,10
2026-03-21T17:53:32.434226,3,0.6013,0.0652,0.6013,0.6738,0.8227,0.7458,0.3473,37
2026-03-21T17:53:32.472478,0,1.1225,1.1225,0.0256,0.8746,0.8686,0.1110,-0.8615,66
2026-03-21T17:53:32.472478,1,0.0444,0.0444,0.0110,0.8649,1.1406,0.7484,-0.8607,3
2026-03-21T17:53:32.472478,2,0.5979,0.0213,0.5979,0.6633,0.8240,0.7531,-0.3343,37
2026-03-21T17:53:32.472478,3,0.0954,0.0233,0.0954,0.0524,0.5982,0.5982,0.0052,10
2026-03-21T17:53:32.472478,4,0.6477,0.0577,0.6477,0.7211,0.8315,0.7467,0.3660,39
2026-03-21T17:53:32.538858,0,1.1163,1.1163,0.0162,3.1015,0.8684,0.1107,-0.8613,66
2026-03-21T17:53:32.538858,1,0.5981,0.0178,0.5981,2.8963,0.8249,0.7540,-0.3347,37
2026-03-21T17:53:32.538858,2,0.0958,0.0369,0.0958,2.2762,0.5983,0.5983,0.0049,10
2026-03-21T17:53:32.538858,3,0.6319,0.0177,0.6319,2.1418,0.8355,0.7474,0.3734,38
2026-03-21T17:53:32.615828,0,1.1936,1.1936,0.0249,3.1060,0.8717,0.1385,-0.8606,69
2026-03-21T17:53:32.615828,1,0.5729,0.0267,0.5729,2.8700,0.8195,0.7523,-0.3250,36
2026-03-21T17:53:32.615828,2,0.0960,0.0263,0.0960,2.2757,0.5997,0.5997,0.0051,10
2026-03-21T17:53:32.615828,3,0.6573,0.0149,0.6573,2.1416,0.8398,0.7473,0.3832,39
2026-03-21T17:53:32.687421,0,1.0966,1.0966,0.0180,3.1024,0.8677,0.1019,-0.8617,65
2026-03-21T17:53:32.687421,1,0.6449,0.0278,0.6449,2.9423,0.8323,0.7537,-0.3532,39
2026-03-21T17:53:32.687421,2,0.0957,0.0336,0.0957,2.2758,0.5963,0.5963,0.0051,10
2026-03-21T17:53:32.687421,3,0.5999,0.0574,0.5999,2.1591,0.8225,0.7457,0.3470,37
2026-03-21T17:53:32.756321,0,1.1254,1.1254,0.0162,3.1024,0.8692,0.1111,-0.8621,66
2026-03-21T17:53:32.756321,1,0.0972,0.0066,0.0972,3.0215,1.0665,0.7668,-0.7412,5
2026-03-21T17:53:32.756321,2,0.6003,0.0231,0.6003,2.8976,0.8251,0.7541,-0.3347,37
2026-03-21T17:53:32.756321,3,0.0954,0.0303,0.0954,2.2756,0.5969,0.5969,0.0050,10
